order_id,exchange,pair,side,quantity,price,order_type,status,timestamp
1ca4ef89-eed9-4e89-8f82-e304f9076d57,dummyex,BTCUSDT,buy,3,1586.6,LIMIT,FILLED,2025-07-30T06:14:27.117309
45104b31-db9d-4338-a174-4b79950de1ff,dummyex,BTCUSDT,buy,9,1984.08,LIMIT,CANCELED,2025-07-30T06:14:27.120479
5b1eb56a-75b6-4f6b-99b0-d956ebe61867,dummyex,BTCUSDT,sell,6,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.122706
b84dc127-96a7-4b64-a0c8-0ffd4f94f212,dummyex,BTCUSDT,sell,6,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.124784
54d5d0f0-ca9e-47a5-94a1-024d747398d9,dummyex,BTCUSDT,buy,4,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.126607
e6e6ebec-0fcb-4e34-a9c1-c6e861dd1d33,dummyex,BTCUSDT,sell,1,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.128459
dddfc3f1-8add-4455-a825-8474212faa86,dummyex,BTCUSDT,sell,9,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.130176
f7d8667f-d3c8-49e3-a245-6b1996269b98,dummyex,BTCUSDT,sell,2,1480.34,LIMIT,CANCELED,2025-07-30T06:14:27.131854
6bc859a2-6cf9-4198-afa4-b5e7a102a0a0,dummyex,BTCUSDT,buy,8,1646.47,LIMIT,CANCELED,2025-07-30T06:14:27.133744
d206c741-77a8-49b0-a8f5-658435bedc29,dummyex,BTCUSDT,sell,5,1717.03,LIMIT,CANCELED,2025-07-30T06:14:27.135451
56efa7ca-edd6-4ab9-acd3-92f053fa7032,dummyex,BTCUSDT,buy,1,1803.44,LIMIT,CANCELED,2025-07-30T06:14:27.137323
35339af9-3651-44d5-8c79-6da8c10a1bf4,dummyex,BTCUSDT,buy,2,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.139685
23cb8d4c-7cff-434d-8a2c-e13219f8f8f3,dummyex,BTCUSDT,sell,9,1438.55,LIMIT,CANCELED,2025-07-30T06:14:27.141799
cf5d658e-5cab-4a30-b3f6-3305f03369c6,dummyex,BTCUSDT,sell,10,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.143621
5b44ee8e-d686-494b-9e6a-941ded6ed4b5,dummyex,BTCUSDT,sell,6,1678.63,LIMIT,CANCELED,2025-07-30T06:14:27.145331
fdef21cd-6335-414a-a814-feb6f06e46ad,dummyex,BTCUSDT,buy,2,1608.83,LIMIT,CANCELED,2025-07-30T06:14:27.147295
035121ec-02e9-4655-8ae7-bf86d63bbb95,dummyex,BTCUSDT,sell,3,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.149210
84c011b8-92a5-4c97-85bf-d76b0a9212f8,dummyex,BTCUSDT,sell,10,1975.21,LIMIT,CANCELED,2025-07-30T06:14:27.151072
127eaad0-5e05-43f7-b761-eaeae8f032d3,dummyex,BTCUSDT,buy,5,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.153426
351d84f9-89dd-4364-877f-851f970d973a,dummyex,BTCUSDT,buy,10,1806.81,LIMIT,CANCELED,2025-07-30T06:14:27.155803
ac6a4f30-a0fb-41ed-b62f-b7f6e887e55b,dummyex,BTCUSDT,sell,7,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.157746
2d89731d-0d8b-496c-a26b-e31615dcd84c,dummyex,BTCUSDT,buy,8,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.159461
eb5363c5-8e0c-423b-8b1c-d31475fe68a5,dummyex,BTCUSDT,buy,4,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.161156
90da1e6d-e44d-4d81-b116-8439a0fd1caf,dummyex,BTCUSDT,sell,6,1532.81,LIMIT,CANCELED,2025-07-30T06:14:27.162885
45dbafd9-c38c-4192-960e-73aabdd1f989,dummyex,BTCUSDT,buy,3,1916.77,LIMIT,CANCELED,2025-07-30T06:14:27.164724
162d040e-3708-4dd7-9ae2-868beeffc40b,dummyex,BTCUSDT,buy,8,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.166477
c648d023-f323-485c-9662-44b0cdb2d176,dummyex,BTCUSDT,sell,3,1842.49,LIMIT,CANCELED,2025-07-30T06:14:27.168188
9604e4cb-9bdf-45c2-8579-8971d4f02ecb,dummyex,BTCUSDT,sell,1,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.170051
4dcf130f-1803-429f-b69b-6061dd9c7576,dummyex,BTCUSDT,sell,7,1682.16,LIMIT,CANCELED,2025-07-30T06:14:27.171984
cb79593c-9b08-4ae3-9185-c6ca79234b80,dummyex,BTCUSDT,buy,3,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.173905
c65a9eb7-22ef-4b1d-b103-16422c0a1264,dummyex,BTCUSDT,buy,2,1713.85,LIMIT,CANCELED,2025-07-30T06:14:27.175680
d5995d13-1ee3-4e64-a750-504e3b0233ed,dummyex,BTCUSDT,buy,10,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.177559
252bf574-1bf6-4de5-a0e2-8c8fd6b52f41,dummyex,BTCUSDT,buy,3,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.179422
d24afbb6-d38b-409d-b3e1-c3522c98dd4a,dummyex,BTCUSDT,buy,3,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.181189
738f412d-08ec-407e-8c90-14a7c8fafb94,dummyex,BTCUSDT,sell,5,1931.22,LIMIT,CANCELED,2025-07-30T06:14:27.182952
0c7fc3e8-70dc-4103-a604-326c5d4ab8b3,dummyex,BTCUSDT,buy,7,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.184795
cd2e0892-d8eb-4e3f-ae45-906c3dc28886,dummyex,BTCUSDT,sell,2,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.186653
2c5b3cae-b75c-4565-bdc4-e3c7c1a2d4a6,dummyex,BTCUSDT,buy,10,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.189462
6af34877-2a8b-4589-bb95-cb1b41204c23,dummyex,BTCUSDT,sell,5,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.191817
5cbe9287-b40e-4afc-a2d2-7bea6950c12a,dummyex,BTCUSDT,sell,9,1357.85,LIMIT,CANCELED,2025-07-30T06:14:27.194673
3ef6c778-50a5-40b3-8d43-fab931fa7015,dummyex,BTCUSDT,sell,4,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.197331
cbab52dd-c515-4079-9fcf-93fffe5171d1,dummyex,BTCUSDT,buy,4,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.199341
d1ffa258-e870-40c9-8ac4-30d1d72dc6a0,dummyex,BTCUSDT,sell,5,1024.18,LIMIT,CANCELED,2025-07-30T06:14:27.201438
a8c7dd2d-1bac-40f6-a363-34feb55e1dba,dummyex,BTCUSDT,sell,1,1701.51,LIMIT,CANCELED,2025-07-30T06:14:27.203550
091fdc90-444c-4ae5-a6f2-d6170eb110c9,dummyex,BTCUSDT,sell,4,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.205723
f4d2cccb-f5c3-4004-aaff-c3aa72fff270,dummyex,BTCUSDT,sell,4,1200.61,LIMIT,CANCELED,2025-07-30T06:14:27.208008
2e3ce39a-c1e1-4905-811b-d9c8cbaf749c,dummyex,BTCUSDT,buy,3,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.210125
3f436960-8fae-416f-b390-324a54393b52,dummyex,BTCUSDT,sell,4,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.212128
e2538d5c-b3cc-4fef-9037-7d09dbe17fa0,dummyex,BTCUSDT,sell,7,1416.8,LIMIT,CANCELED,2025-07-30T06:14:27.214121
d65c3e4f-f823-46b1-8275-f201148ccc4c,dummyex,BTCUSDT,sell,7,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.216169
7d0eb8be-0903-42de-9c93-d5d8d4038e87,dummyex,BTCUSDT,buy,6,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.218220
96af5b3d-9ad5-44a5-a9d8-1508904bb68a,dummyex,BTCUSDT,sell,3,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.220315
f95751db-1510-4de2-b2e9-2e8d9ea8b88f,dummyex,BTCUSDT,sell,1,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.222332
69d50db8-5bb8-49d1-95fc-0ec973dc7a9f,dummyex,BTCUSDT,buy,4,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.224354
105bed7c-9aaa-48b1-8665-e734bb11e308,dummyex,BTCUSDT,buy,1,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.226366
9d381780-1395-4c1d-8ef9-503913bfe3e3,dummyex,BTCUSDT,sell,8,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.228567
333269f3-aac7-46f9-90fa-53984941918b,dummyex,BTCUSDT,buy,8,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.230695
e14681c2-471a-4be9-9a45-1907c7f23354,dummyex,BTCUSDT,sell,7,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.232788
ec051210-f652-4312-9e51-f3205aad13d5,dummyex,BTCUSDT,sell,3,1133.88,LIMIT,CANCELED,2025-07-30T06:14:27.236291
bf8dc485-9ec2-4d55-9708-a9b26e006de4,dummyex,BTCUSDT,buy,2,1165.56,LIMIT,CANCELED,2025-07-30T06:14:27.238507
5e9dfceb-b072-49d8-b7c8-aa4db3b04c31,dummyex,BTCUSDT,buy,1,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.240673
62f8bef9-e73a-4c0a-a694-bdd80617b758,dummyex,BTCUSDT,buy,1,1787.43,LIMIT,CANCELED,2025-07-30T06:14:27.242793
e57aa2b5-e588-4655-8972-665c6f3b6aa4,dummyex,BTCUSDT,sell,4,1229.84,LIMIT,CANCELED,2025-07-30T06:14:27.244969
5ff24b54-10de-461a-ac65-661b16492f57,dummyex,BTCUSDT,buy,9,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.247132
f3806f97-8c37-4a76-ad71-c61cfa469743,dummyex,BTCUSDT,sell,3,1788.29,LIMIT,CANCELED,2025-07-30T06:14:27.249263
a2c10738-fe7a-455d-b331-4b1ff2114c4a,dummyex,BTCUSDT,buy,2,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.253725
cad49b07-ef8e-46bd-91ef-cf25cb513fa6,dummyex,BTCUSDT,buy,3,1782.83,LIMIT,CANCELED,2025-07-30T06:14:27.256289
76857972-d7be-4110-80d4-dabf1f346f9c,dummyex,BTCUSDT,sell,10,1872.91,LIMIT,CANCELED,2025-07-30T06:14:27.258639
3fa1498f-a46b-425b-8305-76b1c672413b,dummyex,BTCUSDT,sell,6,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.260941
ea161ae0-9485-47c9-8f36-3bc4853f3b75,dummyex,BTCUSDT,buy,7,1595.02,LIMIT,CANCELED,2025-07-30T06:14:27.263291
c1478e42-d885-470c-9786-e9efd5cd4191,dummyex,BTCUSDT,sell,5,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.265661
5f03c021-7709-4310-8555-4f0b7d078739,dummyex,BTCUSDT,buy,10,1333.21,LIMIT,CANCELED,2025-07-30T06:14:27.271117
67b024e8-b245-4b37-8e2d-21af8829bb77,dummyex,BTCUSDT,sell,5,1064.43,LIMIT,CANCELED,2025-07-30T06:14:27.274782
90d3f6f8-c4db-46b1-b082-fca32d3c9645,dummyex,BTCUSDT,sell,9,1774.12,LIMIT,CANCELED,2025-07-30T06:14:27.277262
1c35646c-468a-460e-943c-0b8c6c044c14,dummyex,BTCUSDT,buy,6,1395.14,LIMIT,CANCELED,2025-07-30T06:14:27.279680
0feb5f7d-33ab-46ab-9473-d42f456c3d66,dummyex,BTCUSDT,buy,4,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.282314
a949cfda-d8ee-4914-b646-ed4146bc84a9,dummyex,BTCUSDT,buy,8,1336.92,LIMIT,CANCELED,2025-07-30T06:14:27.284683
54c545b8-fc90-4563-8630-a9c7410a1921,dummyex,BTCUSDT,sell,7,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.287103
6c244e7a-ea43-45f3-9ee9-94b4c87423e0,dummyex,BTCUSDT,sell,5,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.289460
663e4192-f98a-4a39-b91d-7158699742aa,dummyex,BTCUSDT,buy,1,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.291741
b366ca5d-f13c-4040-9667-b55f4211d7af,dummyex,BTCUSDT,sell,2,1459.42,LIMIT,CANCELED,2025-07-30T06:14:27.294014
17116e90-c7c6-4299-aa28-fff15f8b96d2,dummyex,BTCUSDT,sell,9,1437.09,LIMIT,CANCELED,2025-07-30T06:14:27.296521
a46ccb93-7047-480b-a3bd-5a51503e7158,dummyex,BTCUSDT,sell,3,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.298887
981685c0-6e96-4d56-84c4-ab979a9f6cdc,dummyex,BTCUSDT,sell,2,1872.33,LIMIT,CANCELED,2025-07-30T06:14:27.303822
3943b429-94d9-46af-8f70-16a0262bf66d,dummyex,BTCUSDT,buy,1,1197.9,LIMIT,CANCELED,2025-07-30T06:14:27.306174
0ae6bc91-1258-4fd9-9ec5-0fe3b6865bfb,dummyex,BTCUSDT,sell,8,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.308496
91467261-9f71-4221-80db-8789595abbe1,dummyex,BTCUSDT,buy,3,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.310600
bcd301f7-cf94-423e-8916-cfc53c5e5be5,dummyex,BTCUSDT,buy,4,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.312749
ec2ded94-cab5-4a1f-b60e-2bff958c541e,dummyex,BTCUSDT,buy,2,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.314881
def2e016-b763-4def-88f6-b89e1b469b2b,dummyex,BTCUSDT,buy,4,1628.5,LIMIT,CANCELED,2025-07-30T06:14:27.317010
a1743024-4818-427f-9987-552a6d984126,dummyex,BTCUSDT,sell,9,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.319196
88282b96-c6b7-4664-955c-964764407d50,dummyex,BTCUSDT,buy,8,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.321694
f92da4bf-e1c5-4587-b340-d3b227511e7e,dummyex,BTCUSDT,sell,10,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.323988
1d78b860-47c4-4bab-ac32-5409cfb4bc7b,dummyex,BTCUSDT,buy,10,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.326209
1d090463-1b40-41de-b24e-2cb44f9c91cb,dummyex,BTCUSDT,sell,8,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.328583
6fcee9fe-655e-4247-b6b0-7625ed5cf9c1,dummyex,BTCUSDT,sell,10,1004.2,LIMIT,CANCELED,2025-07-30T06:14:27.330821
985c2c35-c63b-41b2-8b74-c63ac14d7327,dummyex,BTCUSDT,sell,2,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.333089
d4bef93d-139f-443f-a29d-525464c7ae92,dummyex,BTCUSDT,buy,6,1525.16,LIMIT,CANCELED,2025-07-30T06:14:27.335322
1946c74d-e5ed-401d-a4c0-8f90247f7528,dummyex,BTCUSDT,sell,3,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.337768
c6a6cfee-d8af-4e7c-853e-783844f9e160,dummyex,BTCUSDT,sell,1,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.340051
11004082-7fcf-44ed-9029-7fd0badd782d,dummyex,BTCUSDT,buy,4,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.342274
652f78a8-c1cc-4bfd-8b99-b9df173503b1,dummyex,BTCUSDT,sell,3,1055.92,LIMIT,CANCELED,2025-07-30T06:14:27.344517
4ecebab8-7fa4-4bde-80f3-cbbd34b594c6,dummyex,BTCUSDT,sell,2,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.346825
f69279ca-bf87-43ba-8fe4-cb26aa4424f2,dummyex,BTCUSDT,sell,10,1580.13,LIMIT,CANCELED,2025-07-30T06:14:27.349048
4813b1b3-b5dc-4645-9345-dd77bc028592,dummyex,BTCUSDT,buy,5,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.351355
e66656ce-f999-4259-9a99-5c3919ec5694,dummyex,BTCUSDT,buy,1,1494.35,LIMIT,CANCELED,2025-07-30T06:14:27.353677
a9281341-e581-4af8-b3a7-af657e2e9d2c,dummyex,BTCUSDT,buy,4,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.356074
4a7b4a6f-72a9-4d65-a354-1119d96a4002,dummyex,BTCUSDT,sell,6,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.358377
5486d3c9-6495-4bcf-9a66-d9cabfa5a895,dummyex,BTCUSDT,sell,1,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.360650
0ad1f530-c794-4e75-aa6d-613340356797,dummyex,BTCUSDT,buy,10,1334.61,LIMIT,CANCELED,2025-07-30T06:14:27.362922
39dd91cd-d6ff-4892-b5e7-62b82cf63ba0,dummyex,BTCUSDT,buy,6,1330.47,LIMIT,CANCELED,2025-07-30T06:14:27.365247
2d41166b-fa02-41a7-aeab-09575f700f3a,dummyex,BTCUSDT,buy,8,MARKET,MARKET,CANCELED,2025-07-30T06:14:27.367588
